model,series,horizon_h,mae,rmse
chronos,outdoor_dry_bulb_temperature,6,0.9753985078313446,1.3598913664967915
chronos,outdoor_dry_bulb_temperature,12,1.093881047994241,1.5260090786439537
chronos,outdoor_dry_bulb_temperature,24,1.1895533407590668,1.6685276956917685
chronos,outdoor_relative_humidity,6,7.395139409842339,11.014263087435985
chronos,outdoor_relative_humidity,12,8.43894066909264,12.55333463284355
chronos,outdoor_relative_humidity,24,9.657355743218522,14.199586675600239
chronos,diffuse_solar_irradiance,6,40.648415216489305,82.0215645180259
chronos,diffuse_solar_irradiance,12,41.3730637451698,84.21889376163912
chronos,diffuse_solar_irradiance,24,40.69636748728392,84.08528742996836
chronos,direct_solar_irradiance,6,89.65635922758601,174.8032306139036
chronos,direct_solar_irradiance,12,97.13985101721752,182.64243668004346
chronos,direct_solar_irradiance,24,96.55837228285014,183.8399080370319
chronos,electricity_pricing,6,0.0025319541294821766,0.01052420359654021
chronos,electricity_pricing,12,0.0031459161504246735,0.010508892736363283
chronos,electricity_pricing,24,0.003039089636071064,0.011023595616554216
chronos,Building_1:non_shiftable_load,6,0.5451219247160849,0.8764884391492305
chronos,Building_1:non_shiftable_load,12,0.5504395315797493,0.8762024051322578
chronos,Building_1:non_shiftable_load,24,0.5443209731940448,0.868890416353216
chronos,Building_1:solar_generation,6,43.7801926494734,98.70208235830523
chronos,Building_1:solar_generation,12,47.67461758181896,107.56085193186412
chronos,Building_1:solar_generation,24,47.63387370074558,108.65262468677065
chronos,Building_2:non_shiftable_load,6,0.47033965725494903,0.7517235745019936
chronos,Building_2:non_shiftable_load,12,0.470724290816456,0.7491017092107174
chronos,Building_2:non_shiftable_load,24,0.47190107240449125,0.7539656577322738
chronos,Building_2:solar_generation,6,29.347246422561295,67.95294763201449
chronos,Building_2:solar_generation,12,31.239551295759725,73.14773939998892
chronos,Building_2:solar_generation,24,30.78648137519306,73.76833977290926
chronos,Building_3:non_shiftable_load,6,0.3709378093323517,0.6120174955610078
chronos,Building_3:non_shiftable_load,12,0.387372136910224,0.6349293324482816
chronos,Building_3:non_shiftable_load,24,0.40207297934474556,0.6581308258696372
