arm,seed,timestep,episode_return
baseline,0,576,-1083.8444
baseline,0,1127,-911.2743
baseline,0,1702,-887.93005
baseline,0,2253,-817.82404
baseline,0,2828,-1064.297
baseline,0,3403,-1116.0887
baseline,0,3906,-839.6628
baseline,0,4481,-845.71173
baseline,0,5032,-665.61597
baseline,0,5607,-801.4524
baseline,0,6158,-893.78253
baseline,0,6732,-1153.3978
baseline,0,7308,-1102.1246
baseline,0,7859,-929.734
baseline,0,8434,-895.0279
baseline,0,8985,-840.95276
baseline,0,9560,-1071.6818
baseline,0,10135,-1147.1957
baseline,0,10638,-836.7379
baseline,0,11213,-838.4984
baseline,0,11764,-659.37177
baseline,0,12339,-802.0427
baseline,0,12890,-904.5876
baseline,0,13464,-1123.795
baseline,0,14040,-1083.1439
baseline,0,14591,-906.3521
baseline,0,15166,-846.7435
baseline,0,15717,-749.27985
baseline,0,16292,-986.9798
baseline,0,16867,-1059.1461
baseline,0,17370,-758.7617
baseline,0,17945,-764.49585
baseline,0,18496,-536.9364
baseline,0,19071,-726.5684
baseline,0,19622,-797.3327
baseline,0,20196,-1038.0289
baseline,0,20772,-920.88446
baseline,0,21323,-800.1744
baseline,0,21898,-716.64795
baseline,0,22449,-652.29956
baseline,0,23024,-884.94366
baseline,0,23599,-994.8701
baseline,0,24102,-681.1149
baseline,0,24677,-703.9692
baseline,0,25228,-484.0564
baseline,0,25803,-632.56415
baseline,0,26354,-749.085
baseline,0,26928,-1044.0311
baseline,0,27504,-910.91986
baseline,0,28055,-768.3342
baseline,0,28630,-683.3909
baseline,0,29181,-658.07104
baseline,0,29756,-907.30914
baseline,0,30331,-976.5073
baseline,0,30834,-658.62067
baseline,0,31409,-685.62616
baseline,0,31960,-482.6603
baseline,0,32535,-636.49243
baseline,0,33086,-758.2107
baseline,0,33660,-1005.52783
baseline,0,34236,-913.8572
baseline,0,34787,-767.5662
baseline,0,35362,-685.1814
baseline,0,35913,-646.91595
baseline,0,36488,-894.73706
baseline,0,37063,-969.9934
baseline,0,37566,-682.5497
baseline,0,38141,-689.5439
baseline,0,38692,-503.61118
baseline,0,39267,-653.093
baseline,0,39818,-738.5506
baseline,0,40392,-1003.68066
baseline,0,40968,-899.19946
baseline,0,41519,-743.77576
baseline,0,42094,-653.4666
baseline,0,42645,-643.9857
baseline,0,43220,-873.4741
baseline,0,43795,-993.7939
baseline,0,44298,-684.6751
baseline,0,44873,-676.2171
baseline,0,45424,-493.3096
baseline,0,45999,-651.45807
baseline,0,46550,-742.73315
baseline,0,47124,-984.9578
baseline,0,47700,-885.7106
baseline,0,48251,-737.5334
baseline,0,48826,-657.25226
baseline,0,49377,-625.8142
baseline,0,49952,-849.869
baseline,0,50527,-949.37427
baseline,0,51030,-650.9169
baseline,0,51605,-681.44653
baseline,0,52156,-480.01437
baseline,0,52731,-599.5651
baseline,0,53282,-679.1189
baseline,0,53856,-929.17084
baseline,0,54432,-865.40466
baseline,0,54983,-671.4775
baseline,0,55558,-608.57404
baseline,0,56109,-545.5773
baseline,0,56684,-782.84937
baseline,0,57259,-856.4875
baseline,0,57762,-554.64435
baseline,0,58337,-557.1253
baseline,0,58888,-347.85107
baseline,0,59463,-513.836
baseline,0,60014,-583.22455
baseline,0,60588,-874.58167
baseline,0,61164,-780.72
baseline,0,61715,-589.59985
baseline,0,62290,-536.95685
baseline,0,62841,-472.78278
baseline,0,63416,-720.8731
baseline,0,63991,-835.746
baseline,0,64494,-544.7872
baseline,0,65069,-529.7951
baseline,0,65620,-337.15433
baseline,0,66195,-492.16434
baseline,0,66746,-590.7155
baseline,0,67320,-864.82104
baseline,0,67896,-758.9472
baseline,0,68447,-590.6897
baseline,0,69022,-534.9177
baseline,0,69573,-484.73013
baseline,0,70148,-726.7203
baseline,0,70723,-836.38824
baseline,0,71226,-543.43427
baseline,0,71801,-523.10876
baseline,0,72352,-356.74362
baseline,0,72927,-519.0464
baseline,0,73478,-598.5149
baseline,0,74052,-884.837
baseline,0,74628,-779.0701
baseline,0,75179,-602.78156
baseline,0,75754,-532.1202
baseline,0,76305,-478.59567
baseline,0,76880,-751.85297
baseline,0,77455,-851.36066
baseline,0,77958,-541.17395
baseline,0,78533,-537.968
baseline,0,79084,-361.18384
baseline,0,79659,-520.2391
baseline,0,80210,-592.7024
baseline,0,80784,-867.91693
baseline,0,81360,-769.5937
baseline,0,81911,-579.4393
baseline,0,82486,-534.4012
baseline,0,83037,-485.4323
baseline,0,83612,-746.4628
baseline,0,84187,-843.65283
baseline,0,84690,-558.1799
baseline,0,85265,-546.13257
baseline,0,85816,-359.04987
baseline,0,86391,-506.19867
baseline,0,86942,-578.67
baseline,0,87516,-861.3448
baseline,0,88092,-757.7911
baseline,0,88643,-587.4413
baseline,0,89218,-514.24066
baseline,0,89769,-478.3689
baseline,0,90344,-737.3643
baseline,0,90919,-839.5185
baseline,0,91422,-548.5176
baseline,0,91997,-528.9101
baseline,0,92548,-361.0554
baseline,0,93123,-509.42548
baseline,0,93674,-582.6839
baseline,0,94248,-874.4789
baseline,0,94824,-773.7629
baseline,0,95375,-589.82007
baseline,0,95950,-530.6145
baseline,0,96501,-489.1765
baseline,0,97076,-749.7685
baseline,0,97651,-853.22577
baseline,0,98154,-539.5349
baseline,0,98729,-528.9687
baseline,0,99280,-359.9295
baseline,0,99855,-506.7438
baseline,0,100406,-591.6485
baseline,0,100980,-867.842
baseline,0,101556,-763.39667
baseline,0,102107,-584.354
baseline,0,102682,-520.90814
baseline,0,103233,-467.62286
baseline,0,103808,-746.8728
baseline,0,104383,-856.506
baseline,0,104886,-561.6917
baseline,0,105461,-526.5766
baseline,0,106012,-343.97635
baseline,0,106587,-502.76062
baseline,0,107138,-586.85614
baseline,0,107712,-896.3835
baseline,0,108288,-768.4463
baseline,0,108839,-605.5691
baseline,0,109414,-526.57513
baseline,0,109965,-483.02084
baseline,0,110540,-741.1677
baseline,0,111115,-859.7439
baseline,0,111618,-541.0868
baseline,0,112193,-540.173
baseline,0,112744,-374.44025
baseline,0,113319,-513.00867
baseline,0,113870,-624.4635
baseline,0,114444,-880.75336
baseline,0,115020,-779.82056
baseline,0,115571,-599.3396
baseline,0,116146,-527.13
baseline,0,116697,-480.937
baseline,0,117272,-758.83777
baseline,0,117847,-852.9613
baseline,0,118350,-538.1856
