model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,Acrobot-v1,1,,0.05547046661376953,96w@4080
Chronos-2 S,Chronos-2 S diff r=2,diff,2,-1,Acrobot-v1,1,,0.0068433284759521484,96w@4080
Chronos-2 S,Chronos-2 S diff r=4,diff,4,-1,Acrobot-v1,1,,0.007066249847412109,96w@4080
Chronos-2 S,Chronos-2 S diff r=6,diff,6,-1,Acrobot-v1,1,,0.005837678909301758,96w@4080
Chronos-2 S,Chronos-2 S diff r=8,diff,8,-1,Acrobot-v1,1,,0.005217075347900391,96w@4080
Chronos-2 S,Chronos-2 S diff r=12,diff,12,-1,Acrobot-v1,1,,0.004786491394042969,96w@4080
Chronos-2 S,Chronos-2 S diff r=16,diff,16,-1,Acrobot-v1,1,,0.00447392463684082,96w@4080
Chronos-2 S,Chronos-2 S level r=1,level,1,-1,Acrobot-v1,1,0.9999995801618331,0.6670808792114258,96w@4080
Chronos-2 S,Chronos-2 S level r=2,level,2,-1,Acrobot-v1,1,1.0000006108344208,0.6752560138702393,96w@4080
Chronos-2 S,Chronos-2 S level r=4,level,4,-1,Acrobot-v1,1,1.0000003616746596,0.6681606769561768,96w@4080
Chronos-2 S,Chronos-2 S level r=6,level,6,-1,Acrobot-v1,1,1.000000350173281,0.6673417091369629,96w@4080
Chronos-2 S,Chronos-2 S level r=8,level,8,-1,Acrobot-v1,1,1.0000003020550035,0.6723947525024414,96w@4080
Chronos-2 S,Chronos-2 S level r=12,level,12,-1,Acrobot-v1,1,1.0000003330780796,0.6673715114593506,96w@4080
Chronos-2 S,Chronos-2 S level r=16,level,16,-1,Acrobot-v1,1,1.0000004890369125,0.6694924831390381,96w@4080
Chronos-2 L,Chronos-2 L diff r=1,diff,1,-1,Acrobot-v1,1,,0.004992008209228516,96w@4080
Chronos-2 L,Chronos-2 L diff r=2,diff,2,-1,Acrobot-v1,1,,0.004866600036621094,96w@4080
Chronos-2 L,Chronos-2 L diff r=4,diff,4,-1,Acrobot-v1,1,,0.004569530487060547,96w@4080
Chronos-2 L,Chronos-2 L diff r=6,diff,6,-1,Acrobot-v1,1,,0.004563570022583008,96w@4080
Chronos-2 L,Chronos-2 L diff r=8,diff,8,-1,Acrobot-v1,1,,0.004540443420410156,96w@4080
Chronos-2 L,Chronos-2 L diff r=12,diff,12,-1,Acrobot-v1,1,,0.004537820816040039,96w@4080
Chronos-2 L,Chronos-2 L diff r=16,diff,16,-1,Acrobot-v1,1,,0.004518985748291016,96w@4080
Chronos-2 L,Chronos-2 L level r=1,level,1,-1,Acrobot-v1,1,0.9999974884107562,2.2031641006469727,96w@4080
Chronos-2 L,Chronos-2 L level r=2,level,2,-1,Acrobot-v1,1,0.9999989493279835,2.20263671875,96w@4080
Chronos-2 L,Chronos-2 L level r=4,level,4,-1,Acrobot-v1,1,0.9999995361913129,2.2026212215423584,96w@4080
Chronos-2 L,Chronos-2 L level r=6,level,6,-1,Acrobot-v1,1,0.9999990979281388,2.1822595596313477,96w@4080
Chronos-2 L,Chronos-2 L level r=8,level,8,-1,Acrobot-v1,1,0.9999992403086453,2.1034514904022217,96w@4080
Chronos-2 L,Chronos-2 L level r=12,level,12,-1,Acrobot-v1,1,0.9999995420167788,2.108624219894409,96w@4080
Chronos-2 L,Chronos-2 L level r=16,level,16,-1,Acrobot-v1,1,1.0000000255641137,2.1072099208831787,96w@4080
