env,condition,model,r,action,response,slope_pct,evalset
Acrobot-v1,reference,environment,1,0.0,-0.314785361289978,100.0,96of96w@64/50x200
Acrobot-v1,reference,environment,1,1.0,4.032151537103346e-06,100.0,96of96w@64/50x200
Acrobot-v1,reference,environment,1,2.0,0.3147813379764557,100.0,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 S,1,0.0,-0.026998192071914673,8.474942838219953,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 S,1,1.0,0.0006409806082956493,8.474942838219953,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 S,1,2.0,0.02635723352432251,8.474942838219953,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 L,1,0.0,-0.0228151623159647,7.406563639856541,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 L,1,1.0,-0.0009989504469558597,7.406563639856541,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 L,1,2.0,0.023814095184206963,7.406563639856541,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 L-syn,1,0.0,-0.02664700150489807,8.521664340193949,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 L-syn,1,1.0,-0.0003555856237653643,8.521664340193949,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 L-syn,1,2.0,0.027002565562725067,8.521664340193949,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 S (level),1,0.0,-0.026998192071914673,8.474942838219953,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 S (level),1,1.0,0.0006409806082956493,8.474942838219953,96of96w@64/50x200
Acrobot-v1,levels,Chronos-2 S (level),1,2.0,0.02635723352432251,8.474942838219953,96of96w@64/50x200
Acrobot-v1,levels,Moirai,1,0.0,-0.01325357798486948,8.966743974743288,96of96w@64/50x200
Acrobot-v1,levels,Moirai,1,1.0,-0.02994445152580738,8.966743974743288,96of96w@64/50x200
Acrobot-v1,levels,Moirai,1,2.0,0.04319804906845093,8.966743974743288,96of96w@64/50x200
Acrobot-v1,+ differencing,Chronos-2 S,1,0.0,-0.12764860689640045,40.366931090301165,96of96w@64/50x200
Acrobot-v1,+ differencing,Chronos-2 S,1,1.0,0.001160491374321282,40.366931090301165,96of96w@64/50x200
Acrobot-v1,+ differencing,Chronos-2 S,1,2.0,0.12648816406726837,40.366931090301165,96of96w@64/50x200
Acrobot-v1,+ differencing,Chronos-2 L,1,0.0,-0.08782961964607239,28.367437801133544,96of96w@64/50x200
Acrobot-v1,+ differencing,Chronos-2 L,1,1.0,-0.002932744799181819,28.367437801133544,96of96w@64/50x200
Acrobot-v1,+ differencing,Chronos-2 L,1,2.0,0.09076229482889175,28.367437801133544,96of96w@64/50x200
