env,model,variant,budget,window,h,channel,value,evalset
Acrobot-v1,truth,-,0,0,1,0,0.87843,32w@4030h50
Acrobot-v1,truth,-,0,0,1,1,-0.47787,32w@4030h50
Acrobot-v1,truth,-,0,0,1,2,0.69327,32w@4030h50
Acrobot-v1,truth,-,0,0,1,3,0.72068,32w@4030h50
Acrobot-v1,truth,-,0,0,1,4,-0.7837,32w@4030h50
Acrobot-v1,truth,-,0,0,1,5,0.20033,32w@4030h50
Acrobot-v1,truth,-,0,0,2,0,0.83669,32w@4030h50
Acrobot-v1,truth,-,0,0,2,1,-0.54767,32w@4030h50
Acrobot-v1,truth,-,0,0,2,2,0.74752,32w@4030h50
Acrobot-v1,truth,-,0,0,2,3,0.66424,32w@4030h50
Acrobot-v1,truth,-,0,0,2,4,-0.01459,32w@4030h50
Acrobot-v1,truth,-,0,0,2,5,-0.97968,32w@4030h50
Acrobot-v1,truth,-,0,0,3,0,0.86976,32w@4030h50
Acrobot-v1,truth,-,0,0,3,1,-0.49347,32w@4030h50
Acrobot-v1,truth,-,0,0,3,2,0.89933,32w@4030h50
Acrobot-v1,truth,-,0,0,3,3,0.43727,32w@4030h50
Acrobot-v1,truth,-,0,0,3,4,0.6325,32w@4030h50
Acrobot-v1,truth,-,0,0,3,5,-1.71808,32w@4030h50
Acrobot-v1,truth,-,0,0,4,0,0.94285,32w@4030h50
Acrobot-v1,truth,-,0,0,4,1,-0.33322,32w@4030h50
Acrobot-v1,truth,-,0,0,4,2,0.99786,32w@4030h50
Acrobot-v1,truth,-,0,0,4,3,0.06533,32w@4030h50
Acrobot-v1,truth,-,0,0,4,4,1.08385,32w@4030h50
Acrobot-v1,truth,-,0,0,4,5,-2.06344,32w@4030h50
Acrobot-v1,truth,-,0,0,5,0,0.99438,32w@4030h50
Acrobot-v1,truth,-,0,0,5,1,-0.10588,32w@4030h50
Acrobot-v1,truth,-,0,0,5,2,0.94661,32w@4030h50
Acrobot-v1,truth,-,0,0,5,3,-0.32238,32w@4030h50
Acrobot-v1,truth,-,0,0,5,4,1.19301,32w@4030h50
Acrobot-v1,truth,-,0,0,5,5,-1.76396,32w@4030h50
Acrobot-v1,truth,-,0,0,6,0,0.99027,32w@4030h50
Acrobot-v1,truth,-,0,0,6,1,0.13916,32w@4030h50
Acrobot-v1,truth,-,0,0,6,2,0.78627,32w@4030h50
Acrobot-v1,truth,-,0,0,6,3,-0.61788,32w@4030h50
Acrobot-v1,truth,-,0,0,6,4,1.20655,32w@4030h50
Acrobot-v1,truth,-,0,0,6,5,-1.5209,32w@4030h50
Acrobot-v1,truth,-,0,0,7,0,0.94152,32w@4030h50
Acrobot-v1,truth,-,0,0,7,1,0.33696,32w@4030h50
Acrobot-v1,truth,-,0,0,7,2,0.64052,32w@4030h50
Acrobot-v1,truth,-,0,0,7,3,-0.76794,32w@4030h50
Acrobot-v1,truth,-,0,0,7,4,0.79483,32w@4030h50
Acrobot-v1,truth,-,0,0,7,5,-0.53317,32w@4030h50
Acrobot-v1,truth,-,0,0,8,0,0.90758,32w@4030h50
Acrobot-v1,truth,-,0,0,8,1,0.41988,32w@4030h50
Acrobot-v1,truth,-,0,0,8,2,0.66776,32w@4030h50
Acrobot-v1,truth,-,0,0,8,3,-0.74438,32w@4030h50
Acrobot-v1,truth,-,0,0,8,4,0.0807,32w@4030h50
Acrobot-v1,truth,-,0,0,8,5,0.89997,32w@4030h50
Acrobot-v1,truth,-,0,0,9,0,0.92247,32w@4030h50
Acrobot-v1,truth,-,0,0,9,1,0.38608,32w@4030h50
Acrobot-v1,truth,-,0,0,9,2,0.83575,32w@4030h50
Acrobot-v1,truth,-,0,0,9,3,-0.54912,32w@4030h50
Acrobot-v1,truth,-,0,0,9,4,-0.44042,32w@4030h50
Acrobot-v1,truth,-,0,0,9,5,1.64998,32w@4030h50
Acrobot-v1,truth,-,0,0,10,0,0.96464,32w@4030h50
Acrobot-v1,truth,-,0,0,10,1,0.26359,32w@4030h50
Acrobot-v1,truth,-,0,0,10,2,0.9797,32w@4030h50
Acrobot-v1,truth,-,0,0,10,3,-0.20049,32w@4030h50
Acrobot-v1,truth,-,0,0,10,4,-0.81754,32w@4030h50
Acrobot-v1,truth,-,0,0,10,5,2.06383,32w@4030h50
Acrobot-v1,truth,-,0,0,11,0,0.99709,32w@4030h50
Acrobot-v1,truth,-,0,0,11,1,0.07627,32w@4030h50
Acrobot-v1,truth,-,0,0,11,2,0.97204,32w@4030h50
Acrobot-v1,truth,-,0,0,11,3,0.23483,32w@4030h50
Acrobot-v1,truth,-,0,0,11,4,-1.02922,32w@4030h50
Acrobot-v1,truth,-,0,0,11,5,2.20947,32w@4030h50
Acrobot-v1,truth,-,0,0,12,0,0.99264,32w@4030h50
Acrobot-v1,truth,-,0,0,12,1,-0.12109,32w@4030h50
Acrobot-v1,truth,-,0,0,12,2,0.80489,32w@4030h50
Acrobot-v1,truth,-,0,0,12,3,0.59343,32w@4030h50
Acrobot-v1,truth,-,0,0,12,4,-0.90006,32w@4030h50
Acrobot-v1,truth,-,0,0,12,5,1.68307,32w@4030h50
Acrobot-v1,truth,-,0,0,13,0,0.96722,32w@4030h50
Acrobot-v1,truth,-,0,0,13,1,-0.25396,32w@4030h50
Acrobot-v1,truth,-,0,0,13,2,0.65711,32w@4030h50
Acrobot-v1,truth,-,0,0,13,3,0.7538,32w@4030h50
Acrobot-v1,truth,-,0,0,13,4,-0.43111,32w@4030h50
Acrobot-v1,truth,-,0,0,13,5,0.47271,32w@4030h50
Acrobot-v1,truth,-,0,0,14,0,0.95564,32w@4030h50
Acrobot-v1,truth,-,0,0,14,1,-0.29453,32w@4030h50
Acrobot-v1,truth,-,0,0,14,2,0.6609,32w@4030h50
Acrobot-v1,truth,-,0,0,14,3,0.75047,32w@4030h50
Acrobot-v1,truth,-,0,0,14,4,0.01833,32w@4030h50
Acrobot-v1,truth,-,0,0,14,5,-0.52779,32w@4030h50
Acrobot-v1,truth,-,0,0,15,0,0.96929,32w@4030h50
Acrobot-v1,truth,-,0,0,15,1,-0.24592,32w@4030h50
Acrobot-v1,truth,-,0,0,15,2,0.79908,32w@4030h50
Acrobot-v1,truth,-,0,0,15,3,0.60123,32w@4030h50
Acrobot-v1,truth,-,0,0,15,4,0.47896,32w@4030h50
Acrobot-v1,truth,-,0,0,15,5,-1.4879,32w@4030h50
Acrobot-v1,truth,-,0,0,16,0,0.99182,32w@4030h50
Acrobot-v1,truth,-,0,0,16,1,-0.12768,32w@4030h50
Acrobot-v1,truth,-,0,0,16,2,0.95411,32w@4030h50
Acrobot-v1,truth,-,0,0,16,3,0.29945,32w@4030h50
Acrobot-v1,truth,-,0,0,16,4,0.69219,32w@4030h50
Acrobot-v1,truth,-,0,0,16,5,-1.85121,32w@4030h50
Acrobot-v1,truth,-,0,0,17,0,0.9997,32w@4030h50
Acrobot-v1,truth,-,0,0,17,1,0.02462,32w@4030h50
