model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,CartPole-v1,1,,0.05453610420227051,96w@8192
Chronos-2 S,Chronos-2 S diff r=2,diff,2,-1,CartPole-v1,1,,0.004986286163330078,96w@8192
Chronos-2 S,Chronos-2 S diff r=4,diff,4,-1,CartPole-v1,1,,0.004691362380981445,96w@8192
Chronos-2 S,Chronos-2 S diff r=6,diff,6,-1,CartPole-v1,1,,0.004678249359130859,96w@8192
Chronos-2 S,Chronos-2 S diff r=8,diff,8,-1,CartPole-v1,1,,0.0046236515045166016,96w@8192
Chronos-2 S,Chronos-2 S diff r=12,diff,12,-1,CartPole-v1,1,,0.004578351974487305,96w@8192
Chronos-2 S,Chronos-2 S diff r=16,diff,16,-1,CartPole-v1,1,,0.004480600357055664,96w@8192
Chronos-2 S,Chronos-2 S level r=1,level,1,-1,CartPole-v1,1,1.0000741370008464,0.5122485160827637,96w@8192
Chronos-2 S,Chronos-2 S level r=2,level,2,-1,CartPole-v1,1,0.9998601213331761,0.5135433673858643,96w@8192
Chronos-2 S,Chronos-2 S level r=4,level,4,-1,CartPole-v1,1,0.9999007038423324,0.510352611541748,96w@8192
Chronos-2 S,Chronos-2 S level r=6,level,6,-1,CartPole-v1,1,0.9999124676524799,0.5124363899230957,96w@8192
Chronos-2 S,Chronos-2 S level r=8,level,8,-1,CartPole-v1,1,0.9999266230655709,0.517343282699585,96w@8192
Chronos-2 S,Chronos-2 S level r=12,level,12,-1,CartPole-v1,1,0.999916142743,0.5129184722900391,96w@8192
Chronos-2 S,Chronos-2 S level r=16,level,16,-1,CartPole-v1,1,0.9999219246440918,0.5208914279937744,96w@8192
Chronos-2 L,Chronos-2 L diff r=1,diff,1,-1,CartPole-v1,1,,0.006165981292724609,96w@8192
Chronos-2 L,Chronos-2 L diff r=2,diff,2,-1,CartPole-v1,1,,0.00539088249206543,96w@8192
Chronos-2 L,Chronos-2 L diff r=4,diff,4,-1,CartPole-v1,1,,0.00455021858215332,96w@8192
Chronos-2 L,Chronos-2 L diff r=6,diff,6,-1,CartPole-v1,1,,0.00455474853515625,96w@8192
Chronos-2 L,Chronos-2 L diff r=8,diff,8,-1,CartPole-v1,1,,0.004559040069580078,96w@8192
Chronos-2 L,Chronos-2 L diff r=12,diff,12,-1,CartPole-v1,1,,0.004518032073974609,96w@8192
Chronos-2 L,Chronos-2 L diff r=16,diff,16,-1,CartPole-v1,1,,0.004530668258666992,96w@8192
Chronos-2 L,Chronos-2 L level r=1,level,1,-1,CartPole-v1,1,1.0005283904972537,1.583984375,96w@8192
Chronos-2 L,Chronos-2 L level r=2,level,2,-1,CartPole-v1,1,1.0001689201222679,1.6070294380187988,96w@8192
Chronos-2 L,Chronos-2 L level r=4,level,4,-1,CartPole-v1,1,1.0000867393754327,1.6413750648498535,96w@8192
Chronos-2 L,Chronos-2 L level r=6,level,6,-1,CartPole-v1,1,1.0002170363986074,1.623032808303833,96w@8192
Chronos-2 L,Chronos-2 L level r=8,level,8,-1,CartPole-v1,1,1.0001872303580752,1.6127171516418457,96w@8192
Chronos-2 L,Chronos-2 L level r=12,level,12,-1,CartPole-v1,1,1.00013439589125,1.6366527080535889,96w@8192
Chronos-2 L,Chronos-2 L level r=16,level,16,-1,CartPole-v1,1,1.0000649307525777,1.5556161403656006,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=1,diff,1,-1,CartPole-v1,1,,0.0060863494873046875,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=2,diff,2,-1,CartPole-v1,1,,0.005327701568603516,96w@8192
