env,condition,model,r,action,response,slope_pct,evalset
CartPole-v1,reference,environment,1,0.0,-0.19511955976486206,100.0,96of96w@64/50x200
CartPole-v1,reference,environment,1,1.0,0.19511955976486206,100.0,96of96w@64/50x200
CartPole-v1,levels,Chronos-2 S,1,0.0,-0.09314251691102982,47.73611325622933,96of96w@64/50x200
CartPole-v1,levels,Chronos-2 S,1,1.0,0.09314251691102982,47.73611325622933,96of96w@64/50x200
CartPole-v1,levels,Chronos-2 L,1,0.0,-0.05574743077158928,28.570910477102363,96of96w@64/50x200
CartPole-v1,levels,Chronos-2 L,1,1.0,0.05574743077158928,28.570910477102363,96of96w@64/50x200
CartPole-v1,levels,Chronos-2 L-syn,1,0.0,-0.07831069082021713,40.13472434559886,96of96w@64/50x200
CartPole-v1,levels,Chronos-2 L-syn,1,1.0,0.07831069082021713,40.13472434559886,96of96w@64/50x200
CartPole-v1,levels,Chronos-2 S (level),1,0.0,-0.09314251691102982,47.73611325622933,96of96w@64/50x200
CartPole-v1,levels,Chronos-2 S (level),1,1.0,0.09314251691102982,47.73611325622933,96of96w@64/50x200
CartPole-v1,levels,Moirai,1,0.0,0.0022536402102559805,-1.1550045367086175,96of96w@64/50x200
CartPole-v1,levels,Moirai,1,1.0,-0.0022536374162882566,-1.1550045367086175,96of96w@64/50x200
CartPole-v1,+ differencing,Chronos-2 S,1,0.0,-0.19174189865589142,98.26893058796142,96of96w@64/50x200
CartPole-v1,+ differencing,Chronos-2 S,1,1.0,0.19174189865589142,98.26893058796142,96of96w@64/50x200
CartPole-v1,+ differencing,Chronos-2 L,1,0.0,-0.16484420001506805,84.48368203627716,96of96w@64/50x200
CartPole-v1,+ differencing,Chronos-2 L,1,1.0,0.16484420001506805,84.48368203627716,96of96w@64/50x200
CartPole-v1,+ differencing,Chronos-2 L-syn,1,0.0,-0.1734742671251297,88.90665569817988,96of96w@64/50x200
CartPole-v1,+ differencing,Chronos-2 L-syn,1,1.0,0.1734742671251297,88.90665569817988,96of96w@64/50x200
CartPole-v1,+ differencing,Chronos-2 S (level),1,0.0,-0.09314251691102982,47.73611325622933,96of96w@64/50x200
CartPole-v1,+ differencing,Chronos-2 S (level),1,1.0,0.09314251691102982,47.73611325622933,96of96w@64/50x200
CartPole-v1,+ differencing,Moirai,1,0.0,-0.0008711119298823178,0.4464505917597276,96of96w@64/50x200
CartPole-v1,+ differencing,Moirai,1,1.0,0.0008711114642210305,0.4464505917597276,96of96w@64/50x200
CartPole-v1,+ stretching,Chronos-2 S,4,0.0,-0.028463521972298622,14.587736152124021,96of96w@64/50x200
CartPole-v1,+ stretching,Chronos-2 S,4,1.0,0.028463521972298622,14.587736152124021,96of96w@64/50x200
CartPole-v1,+ stretching,Chronos-2 L,4,0.0,-0.05058807507157326,25.92671008388077,96of96w@64/50x200
CartPole-v1,+ stretching,Chronos-2 L,4,1.0,0.05058807134628296,25.92671008388077,96of96w@64/50x200
CartPole-v1,+ stretching,Chronos-2 L-syn,4,0.0,-0.060126084834337234,30.81499571095876,96of96w@64/50x200
CartPole-v1,+ stretching,Chronos-2 L-syn,4,1.0,0.060126084834337234,30.81499571095876,96of96w@64/50x200
CartPole-v1,+ stretching,Chronos-2 S (level),4,0.0,-0.09314251691102982,47.73611325622933,96of96w@64/50x200
CartPole-v1,+ stretching,Chronos-2 S (level),4,1.0,0.09314251691102982,47.73611325622933,96of96w@64/50x200
CartPole-v1,+ stretching,Moirai,4,0.0,-0.0002683416532818228,0.13752629653093895,96of96w@64/50x200
CartPole-v1,+ stretching,Moirai,4,1.0,0.0002683402562979609,0.13752629653093895,96of96w@64/50x200
CartPole-v1,both,Chronos-2 S,4,0.0,-0.19341237843036652,99.12507749021412,96of96w@64/50x200
CartPole-v1,both,Chronos-2 S,4,1.0,0.19341237843036652,99.12507749021412,96of96w@64/50x200
CartPole-v1,both,Chronos-2 L,4,0.0,-0.18137355148792267,92.95508845485642,96of96w@64/50x200
CartPole-v1,both,Chronos-2 L,4,1.0,0.18137355148792267,92.95508845485642,96of96w@64/50x200
CartPole-v1,both,Chronos-2 L-syn,4,0.0,-0.17944498360157013,91.96666418875607,96of96w@64/50x200
CartPole-v1,both,Chronos-2 L-syn,4,1.0,0.17944498360157013,91.96666418875607,96of96w@64/50x200
CartPole-v1,both,Chronos-2 S (level),4,0.0,-0.09314251691102982,47.73611325622933,96of96w@64/50x200
CartPole-v1,both,Chronos-2 S (level),4,1.0,0.09314251691102982,47.73611325622933,96of96w@64/50x200
CartPole-v1,both,Moirai,4,0.0,-0.0007752956007607281,0.39734342464517175,96of96w@64/50x200
CartPole-v1,both,Moirai,4,1.0,0.0007752937381155789,0.39734342464517175,96of96w@64/50x200
