env,model,variant,budget,window,h,channel,value,evalset
CartPole-v1,truth,-,0,0,1,0,-0.0536,32w@8142h50
CartPole-v1,truth,-,0,0,1,1,0.02457,32w@8142h50
CartPole-v1,truth,-,0,0,1,2,0.0227,32w@8142h50
CartPole-v1,truth,-,0,0,1,3,-0.00216,32w@8142h50
CartPole-v1,truth,-,0,0,2,0,-0.05311,32w@8142h50
CartPole-v1,truth,-,0,0,2,1,-0.17087,32w@8142h50
CartPole-v1,truth,-,0,0,2,2,0.02265,32w@8142h50
CartPole-v1,truth,-,0,0,2,3,0.2976,32w@8142h50
CartPole-v1,truth,-,0,0,3,0,-0.05652,32w@8142h50
CartPole-v1,truth,-,0,0,3,1,0.02392,32w@8142h50
CartPole-v1,truth,-,0,0,3,2,0.02861,32w@8142h50
CartPole-v1,truth,-,0,0,3,3,0.01214,32w@8142h50
CartPole-v1,truth,-,0,0,4,0,-0.05604,32w@8142h50
CartPole-v1,truth,-,0,0,4,1,0.21862,32w@8142h50
CartPole-v1,truth,-,0,0,4,2,0.02885,32w@8142h50
CartPole-v1,truth,-,0,0,4,3,-0.27138,32w@8142h50
CartPole-v1,truth,-,0,0,5,0,-0.05167,32w@8142h50
CartPole-v1,truth,-,0,0,5,1,0.0231,32w@8142h50
CartPole-v1,truth,-,0,0,5,2,0.02342,32w@8142h50
CartPole-v1,truth,-,0,0,5,3,0.03026,32w@8142h50
CartPole-v1,truth,-,0,0,6,0,-0.05121,32w@8142h50
CartPole-v1,truth,-,0,0,6,1,0.21788,32w@8142h50
CartPole-v1,truth,-,0,0,6,2,0.02403,32w@8142h50
CartPole-v1,truth,-,0,0,6,3,-0.25494,32w@8142h50
CartPole-v1,truth,-,0,0,7,0,-0.04685,32w@8142h50
CartPole-v1,truth,-,0,0,7,1,0.02242,32w@8142h50
CartPole-v1,truth,-,0,0,7,2,0.01893,32w@8142h50
CartPole-v1,truth,-,0,0,7,3,0.04522,32w@8142h50
CartPole-v1,truth,-,0,0,8,0,-0.0464,32w@8142h50
CartPole-v1,truth,-,0,0,8,1,0.21727,32w@8142h50
CartPole-v1,truth,-,0,0,8,2,0.01983,32w@8142h50
CartPole-v1,truth,-,0,0,8,3,-0.24143,32w@8142h50
CartPole-v1,truth,-,0,0,9,0,-0.04206,32w@8142h50
CartPole-v1,truth,-,0,0,9,1,0.4121,32w@8142h50
CartPole-v1,truth,-,0,0,9,2,0.015,32w@8142h50
CartPole-v1,truth,-,0,0,9,3,-0.52779,32w@8142h50
CartPole-v1,truth,-,0,0,10,0,-0.03382,32w@8142h50
CartPole-v1,truth,-,0,0,10,1,0.21677,32w@8142h50
CartPole-v1,truth,-,0,0,10,2,0.00445,32w@8142h50
