env,condition,model,r,action,response,slope_pct,evalset
MountainCar-v0,reference,environment,1,0.0,-0.001000000280328095,100.0,96of96w@64/50x200
MountainCar-v0,reference,environment,1,1.0,-1.1975013862464134e-11,100.0,96of96w@64/50x200
MountainCar-v0,reference,environment,1,2.0,0.0010000005131587386,100.0,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 S,1,0.0,-0.00011301597260171548,11.358241990024982,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 S,1,1.0,-1.1328951359246275e-06,11.358241990024982,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 S,1,2.0,0.00011414888285798952,11.358241990024982,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 L,1,0.0,-7.918915071059018e-05,7.807349869229716,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 L,1,1.0,2.2313888621283695e-06,7.807349869229716,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 L,1,2.0,7.695782551309094e-05,7.807349869229716,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 L-syn,1,0.0,-0.00016324834723491222,16.507831749736606,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 L-syn,1,1.0,-3.659810090539395e-06,16.507831749736606,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 L-syn,1,2.0,0.00016690825577825308,16.507831749736606,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 S (level),1,0.0,-0.00011301597260171548,11.358241990024982,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 S (level),1,1.0,-1.1328951359246275e-06,11.358241990024982,96of96w@64/50x200
MountainCar-v0,levels,Chronos-2 S (level),1,2.0,0.00011414888285798952,11.358241990024982,96of96w@64/50x200
MountainCar-v0,levels,Moirai,1,0.0,-4.716460534837097e-05,2.1591783351618394,96of96w@64/50x200
MountainCar-v0,levels,Moirai,1,1.0,5.114556188345887e-05,2.1591783351618394,96of96w@64/50x200
MountainCar-v0,levels,Moirai,1,2.0,-3.981033387390198e-06,2.1591783351618394,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 S,1,0.0,-0.001143646310083568,114.74168251021527,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 S,1,1.0,-7.541070317529375e-06,114.74168251021527,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 S,1,2.0,0.0011511872289702296,114.74168251021527,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 L,1,0.0,-0.0009303060942329466,93.08268692310455,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 L,1,1.0,-1.041359951159393e-06,93.08268692310455,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 L,1,2.0,0.0009313474292866886,93.08268692310455,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 L-syn,1,0.0,-0.00091904605505988,94.2076937177738,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 L-syn,1,1.0,-4.606129368767142e-05,94.2076937177738,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 L-syn,1,2.0,0.0009651076979935169,94.2076937177738,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 S (level),1,0.0,-0.00011301597260171548,11.358241990024982,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 S (level),1,1.0,-1.1328951359246275e-06,11.358241990024982,96of96w@64/50x200
MountainCar-v0,+ differencing,Chronos-2 S (level),1,2.0,0.00011414888285798952,11.358241990024982,96of96w@64/50x200
MountainCar-v0,+ differencing,Moirai,1,0.0,-1.8058290152112022e-06,-1.858046415938288,96of96w@64/50x200
MountainCar-v0,+ differencing,Moirai,1,1.0,4.077261473867111e-05,-1.858046415938288,96of96w@64/50x200
MountainCar-v0,+ differencing,Moirai,1,2.0,-3.8966758438618854e-05,-1.858046415938288,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 S,4,0.0,-0.0002342828520340845,23.521298271577006,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 S,4,1.0,-1.8602646605359041e-06,23.521298271577006,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 S,4,2.0,0.000236143110669218,23.521298271577006,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 L,4,0.0,-0.00023829816200304776,23.651232180615498,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 L,4,1.0,3.5715227113541914e-06,23.651232180615498,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 L,4,2.0,0.00023472652537748218,23.651232180615498,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 L-syn,4,0.0,-0.00034587449044920504,34.34054306593471,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 L-syn,4,1.0,4.938192887493642e-06,34.34054306593471,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 L-syn,4,2.0,0.0003409363853279501,34.34054306593471,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 S (level),4,0.0,-0.00011301597260171548,11.358241990024982,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 S (level),4,1.0,-1.1328951359246275e-06,11.358241990024982,96of96w@64/50x200
MountainCar-v0,+ stretching,Chronos-2 S (level),4,2.0,0.00011414888285798952,11.358241990024982,96of96w@64/50x200
MountainCar-v0,+ stretching,Moirai,4,0.0,-1.8338929294259287e-05,2.06979316420146,96of96w@64/50x200
MountainCar-v0,+ stretching,Moirai,4,1.0,-4.718061518360628e-06,2.06979316420146,96of96w@64/50x200
MountainCar-v0,+ stretching,Moirai,4,2.0,2.3056933059706353e-05,2.06979316420146,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 S,4,0.0,-0.001005574595183134,101.05564383533802,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 S,4,1.0,-9.963892807718366e-06,101.05564383533802,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 S,4,2.0,0.0010155384661629796,101.05564383533802,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 L,4,0.0,-0.0009579064208082855,95.07971518951825,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 L,4,1.0,1.4218853721104097e-05,95.07971518951825,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 L,4,2.0,0.0009436876862309873,95.07971518951825,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 L-syn,4,0.0,-0.0009919459698721766,98.59950851791572,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 L-syn,4,1.0,1.1901618563570082e-05,98.59950851791572,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 L-syn,4,2.0,0.0009800441330298781,98.59950851791572,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 S (level),4,0.0,-0.00011301597260171548,11.358241990024982,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 S (level),4,1.0,-1.1328951359246275e-06,11.358241990024982,96of96w@64/50x200
MountainCar-v0,both,Chronos-2 S (level),4,2.0,0.00011414888285798952,11.358241990024982,96of96w@64/50x200
MountainCar-v0,both,Moirai,4,0.0,2.7312162274029106e-05,-0.7390208450537575,96of96w@64/50x200
MountainCar-v0,both,Moirai,4,1.0,-3.9843926060711965e-05,-0.7390208450537575,96of96w@64/50x200
MountainCar-v0,both,Moirai,4,2.0,1.2531745596788824e-05,-0.7390208450537575,96of96w@64/50x200
