env,model,variant,presentation,r,lag,budget,h,nmse,evalset
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,1,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,2,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,3,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,4,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,5,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,6,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,7,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,8,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,9,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,10,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,11,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,12,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,13,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,14,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,15,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,16,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,17,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,18,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,19,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,20,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,21,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,22,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,23,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,24,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,25,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,26,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,27,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,28,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,29,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,30,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,31,,32w@8142h50
MountainCar-v0,Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,1,32,,32w@8142h50
