env,model,variant,budget,window,h,channel,value,evalset
MountainCar-v0,truth,-,0,0,1,0,-0.61971,32w@8142h50
MountainCar-v0,truth,-,0,0,1,1,-0.00171,32w@8142h50
MountainCar-v0,truth,-,0,0,2,0,-0.62071,32w@8142h50
MountainCar-v0,truth,-,0,0,2,1,-0.001,32w@8142h50
MountainCar-v0,truth,-,0,0,3,0,-0.622,32w@8142h50
MountainCar-v0,truth,-,0,0,3,1,-0.00128,32w@8142h50
MountainCar-v0,truth,-,0,0,4,0,-0.62355,32w@8142h50
MountainCar-v0,truth,-,0,0,4,1,-0.00156,32w@8142h50
MountainCar-v0,truth,-,0,0,5,0,-0.62337,32w@8142h50
MountainCar-v0,truth,-,0,0,5,1,0.00018,32w@8142h50
MountainCar-v0,truth,-,0,0,6,0,-0.62145,32w@8142h50
MountainCar-v0,truth,-,0,0,6,1,0.00192,32w@8142h50
MountainCar-v0,truth,-,0,0,7,0,-0.61881,32w@8142h50
MountainCar-v0,truth,-,0,0,7,1,0.00264,32w@8142h50
MountainCar-v0,truth,-,0,0,8,0,-0.61646,32w@8142h50
MountainCar-v0,truth,-,0,0,8,1,0.00235,32w@8142h50
MountainCar-v0,truth,-,0,0,9,0,-0.61443,32w@8142h50
MountainCar-v0,truth,-,0,0,9,1,0.00204,32w@8142h50
MountainCar-v0,truth,-,0,0,10,0,-0.61172,32w@8142h50
MountainCar-v0,truth,-,0,0,10,1,0.00271,32w@8142h50
MountainCar-v0,truth,-,0,0,11,0,-0.60736,32w@8142h50
MountainCar-v0,truth,-,0,0,11,1,0.00436,32w@8142h50
MountainCar-v0,truth,-,0,0,12,0,-0.60337,32w@8142h50
MountainCar-v0,truth,-,0,0,12,1,0.00398,32w@8142h50
MountainCar-v0,truth,-,0,0,13,0,-0.5978,32w@8142h50
MountainCar-v0,truth,-,0,0,13,1,0.00558,32w@8142h50
MountainCar-v0,truth,-,0,0,14,0,-0.59267,32w@8142h50
MountainCar-v0,truth,-,0,0,14,1,0.00513,32w@8142h50
