model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,Pendulum-v1,1,,0.05286073684692383,96w@8192
Chronos-2 S,Chronos-2 S diff r=2,diff,2,-1,Pendulum-v1,1,,0.005574703216552734,96w@8192
Chronos-2 S,Chronos-2 S diff r=4,diff,4,-1,Pendulum-v1,1,,0.00531768798828125,96w@8192
Chronos-2 S,Chronos-2 S diff r=6,diff,6,-1,Pendulum-v1,1,,0.004836559295654297,96w@8192
Chronos-2 S,Chronos-2 S diff r=8,diff,8,-1,Pendulum-v1,1,,0.0045166015625,96w@8192
Chronos-2 S,Chronos-2 S diff r=12,diff,12,-1,Pendulum-v1,1,,0.0045778751373291016,96w@8192
Chronos-2 S,Chronos-2 S diff r=16,diff,16,-1,Pendulum-v1,1,,0.004659175872802734,96w@8192
Chronos-2 S,Chronos-2 S level r=1,level,1,-1,Pendulum-v1,1,0.999994869364345,0.41582703590393066,96w@8192
Chronos-2 S,Chronos-2 S level r=2,level,2,-1,Pendulum-v1,1,0.9999965711662284,0.4216268062591553,96w@8192
Chronos-2 S,Chronos-2 S level r=4,level,4,-1,Pendulum-v1,1,0.9999967427743605,0.417466402053833,96w@8192
Chronos-2 S,Chronos-2 S level r=6,level,6,-1,Pendulum-v1,1,0.9999974337558738,0.4200456142425537,96w@8192
Chronos-2 S,Chronos-2 S level r=8,level,8,-1,Pendulum-v1,1,0.9999980005030351,0.4193236827850342,96w@8192
Chronos-2 S,Chronos-2 S level r=12,level,12,-1,Pendulum-v1,1,0.9999981339240387,0.4170665740966797,96w@8192
Chronos-2 S,Chronos-2 S level r=16,level,16,-1,Pendulum-v1,1,1.0000023428051208,0.4185030460357666,96w@8192
Chronos-2 L,Chronos-2 L diff r=1,diff,1,-1,Pendulum-v1,1,,0.0050084590911865234,96w@8192
Chronos-2 L,Chronos-2 L diff r=2,diff,2,-1,Pendulum-v1,1,,0.0048427581787109375,96w@8192
Chronos-2 L,Chronos-2 L diff r=4,diff,4,-1,Pendulum-v1,1,,0.004595756530761719,96w@8192
Chronos-2 L,Chronos-2 L diff r=6,diff,6,-1,Pendulum-v1,1,,0.0045757293701171875,96w@8192
Chronos-2 L,Chronos-2 L diff r=8,diff,8,-1,Pendulum-v1,1,,0.004561901092529297,96w@8192
Chronos-2 L,Chronos-2 L diff r=12,diff,12,-1,Pendulum-v1,1,,0.004542827606201172,96w@8192
Chronos-2 L,Chronos-2 L diff r=16,diff,16,-1,Pendulum-v1,1,,0.004534006118774414,96w@8192
Chronos-2 L,Chronos-2 L level r=1,level,1,-1,Pendulum-v1,1,0.9999779099684442,1.2564668655395508,96w@8192
Chronos-2 L,Chronos-2 L level r=2,level,2,-1,Pendulum-v1,1,0.9999861820926546,1.2616543769836426,96w@8192
Chronos-2 L,Chronos-2 L level r=4,level,4,-1,Pendulum-v1,1,0.9999926739663859,1.2610383033752441,96w@8192
Chronos-2 L,Chronos-2 L level r=6,level,6,-1,Pendulum-v1,1,0.9999953998867664,1.350574254989624,96w@8192
Chronos-2 L,Chronos-2 L level r=8,level,8,-1,Pendulum-v1,1,0.9999963356985676,1.356081485748291,96w@8192
Chronos-2 L,Chronos-2 L level r=12,level,12,-1,Pendulum-v1,1,0.9999982596288904,1.358036756515503,96w@8192
Chronos-2 L,Chronos-2 L level r=16,level,16,-1,Pendulum-v1,1,1.000003042718308,1.3576068878173828,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=1,diff,1,-1,Pendulum-v1,1,,0.006216287612915039,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=2,diff,2,-1,Pendulum-v1,1,,0.005367279052734375,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=4,diff,4,-1,Pendulum-v1,1,,0.004567623138427734,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=6,diff,6,-1,Pendulum-v1,1,,0.004578590393066406,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=8,diff,8,-1,Pendulum-v1,1,,0.0045664310455322266,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=12,diff,12,-1,Pendulum-v1,1,,0.004550933837890625,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=16,diff,16,-1,Pendulum-v1,1,,0.004567146301269531,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=1,level,1,-1,Pendulum-v1,1,0.999999838140076,1.3378310203552246,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=2,level,2,-1,Pendulum-v1,1,0.9999998320352105,1.339937448501587,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=4,level,4,-1,Pendulum-v1,1,0.9999997822677825,1.339963674545288,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=6,level,6,-1,Pendulum-v1,1,1.0000000100675266,1.3445422649383545,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=8,level,8,-1,Pendulum-v1,1,0.9999998102865907,1.3425331115722656,96w@8192
