env,model,variant,budget,window,h,channel,value,evalset
Pendulum-v1,truth,-,0,0,1,0,-0.89343,32w@8142h50
Pendulum-v1,truth,-,0,0,1,1,0.44921,32w@8142h50
Pendulum-v1,truth,-,0,0,1,2,6.70199,32w@8142h50
Pendulum-v1,truth,-,0,0,2,0,-0.99361,32w@8142h50
Pendulum-v1,truth,-,0,0,2,1,0.11283,32w@8142h50
Pendulum-v1,truth,-,0,0,2,2,7.05616,32w@8142h50
Pendulum-v1,truth,-,0,0,3,0,-0.97176,32w@8142h50
Pendulum-v1,truth,-,0,0,3,1,-0.23598,32w@8142h50
Pendulum-v1,truth,-,0,0,3,2,7.02598,32w@8142h50
Pendulum-v1,truth,-,0,0,4,0,-0.82922,32w@8142h50
Pendulum-v1,truth,-,0,0,4,1,-0.55893,32w@8142h50
Pendulum-v1,truth,-,0,0,4,2,7.0973,32w@8142h50
Pendulum-v1,truth,-,0,0,5,0,-0.59736,32w@8142h50
Pendulum-v1,truth,-,0,0,5,1,-0.80197,32w@8142h50
Pendulum-v1,truth,-,0,0,5,2,6.74986,32w@8142h50
Pendulum-v1,truth,-,0,0,6,0,-0.32916,32w@8142h50
Pendulum-v1,truth,-,0,0,6,1,-0.94427,32w@8142h50
Pendulum-v1,truth,-,0,0,6,2,6.09593,32w@8142h50
Pendulum-v1,truth,-,0,0,7,0,-0.07263,32w@8142h50
Pendulum-v1,truth,-,0,0,7,1,-0.99736,32w@8142h50
Pendulum-v1,truth,-,0,0,7,2,5.2544,32w@8142h50
Pendulum-v1,truth,-,0,0,8,0,0.14349,32w@8142h50
Pendulum-v1,truth,-,0,0,8,1,-0.98965,32w@8142h50
Pendulum-v1,truth,-,0,0,8,2,4.33362,32w@8142h50
Pendulum-v1,truth,-,0,0,9,0,0.31307,32w@8142h50
Pendulum-v1,truth,-,0,0,9,1,-0.94973,32w@8142h50
Pendulum-v1,truth,-,0,0,9,2,3.48874,32w@8142h50
Pendulum-v1,truth,-,0,0,10,0,0.42918,32w@8142h50
Pendulum-v1,truth,-,0,0,10,1,-0.90322,32w@8142h50
Pendulum-v1,truth,-,0,0,10,2,2.50317,32w@8142h50
Pendulum-v1,truth,-,0,0,11,0,0.51878,32w@8142h50
Pendulum-v1,truth,-,0,0,11,1,-0.85491,32w@8142h50
Pendulum-v1,truth,-,0,0,11,2,2.03679,32w@8142h50
Pendulum-v1,truth,-,0,0,12,0,0.58645,32w@8142h50
Pendulum-v1,truth,-,0,0,12,1,-0.80998,32w@8142h50
Pendulum-v1,truth,-,0,0,12,2,1.62507,32w@8142h50
Pendulum-v1,truth,-,0,0,13,0,0.61754,32w@8142h50
Pendulum-v1,truth,-,0,0,13,1,-0.78654,32w@8142h50
Pendulum-v1,truth,-,0,0,13,2,0.77866,32w@8142h50
Pendulum-v1,truth,-,0,0,14,0,0.61627,32w@8142h50
Pendulum-v1,truth,-,0,0,14,1,-0.78754,32w@8142h50
Pendulum-v1,truth,-,0,0,14,2,-0.03222,32w@8142h50
Pendulum-v1,truth,-,0,0,15,0,0.58651,32w@8142h50
Pendulum-v1,truth,-,0,0,15,1,-0.80994,32w@8142h50
Pendulum-v1,truth,-,0,0,15,2,-0.74506,32w@8142h50
Pendulum-v1,truth,-,0,0,16,0,0.52361,32w@8142h50
Pendulum-v1,truth,-,0,0,16,1,-0.85196,32w@8142h50
Pendulum-v1,truth,-,0,0,16,2,-1.51333,32w@8142h50
Pendulum-v1,truth,-,0,0,17,0,0.44077,32w@8142h50
Pendulum-v1,truth,-,0,0,17,1,-0.89762,32w@8142h50
Pendulum-v1,truth,-,0,0,17,2,-1.89247,32w@8142h50
Pendulum-v1,truth,-,0,0,18,0,0.33371,32w@8142h50
Pendulum-v1,truth,-,0,0,18,1,-0.94268,32w@8142h50
Pendulum-v1,truth,-,0,0,18,2,-2.32444,32w@8142h50
Pendulum-v1,truth,-,0,0,19,0,0.1831,32w@8142h50
Pendulum-v1,truth,-,0,0,19,1,-0.98309,32w@8142h50
Pendulum-v1,truth,-,0,0,19,2,-3.12178,32w@8142h50
Pendulum-v1,truth,-,0,0,20,0,-0.00631,32w@8142h50
Pendulum-v1,truth,-,0,0,20,1,-0.99998,32w@8142h50
Pendulum-v1,truth,-,0,0,20,2,-3.80896,32w@8142h50
Pendulum-v1,truth,-,0,0,21,0,-0.22554,32w@8142h50
Pendulum-v1,truth,-,0,0,21,1,-0.97423,32w@8142h50
Pendulum-v1,truth,-,0,0,21,2,-4.42378,32w@8142h50
